&METADATA_NAMELIST
startdate = "200704010000"
enddate = "201012310000"
loop_for_a_while = 0
output_dir = ""
Latitude = 33.02
Longitude = 91.96
Forcing_Timestep = 86400
Noahlsm_Timestep = 86400
Sea_ice_point = .FALSE.
Soil_layer_thickness = 0.045 0.046 0.075 0.123 0.204 0.336 0.371 0.3 0.5 0.5 0.7 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0
Soil_Temperature = 273.4 271.6 271.2 270.8 270.2 269.4 268.7 268.4 267.5 268.5 270.5 271.0 271.4 271.6 271.7 271.8 271.8 271.9 271.8 271.9
Soil_Moisture = 0.104 0.22 0.247 0.222 0.276 0.247 0.238 0.223 0.205 0.169 0.337 0.337 0.337 0.094 0.109 0.121 0.131 0.15 0.164 0.173
Soil_Liquid = 0.104 0.099 0.104 0.084 0.052 0.03 0.003 0.01 0.031 0.057 0.035 0.039 0.042 0.016 0.017 0.018 0.019 0.021 0.023 0.024
Soil_htype = 7 7 7 7 9 7 7 7 7 7 12 12 12 13 13 13 13 13 13 13
Skin_Temperature = 271.241
Canopy_water = 0
Snow_depth = 0
Snow_equivalent = 0
Deep_Soil_Temperature = 272.43
Landuse_dataset = "USGS"
Soil_type_index = 3
Vegetation_type_index = 9
Urban_veg_category = 1
glacial_veg_category = 24
Slope_type_index = 3
Max_snow_albedo = 0.75
Air_temperature_level = 2.0
Wind_level = 10.0
Green_Vegetation_Min = 0.01
Green_Vegetation_Max = 0.96
Usemonalb = .FALSE.
Rdlai2d = .FALSE.
sfcdif_option = 1
iz0tlnd = 0
Albedo_monthly = 0.18 0.17 0.16 0.15 0.15 0.15 0.15 0.16 0.16 0.17 0.17 0.18
Shdfac_monthly = 0.01 0.02 0.07 0.17 0.27 0.58 0.93 0.96 0.65 0.24 0.11 0.02
lai_monthly = 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
Z0brd_monthly = 0.02 0.02 0.025 0.03 0.035 0.036 0.035 0.03 0.027 0.025 0.02 0.02
/
------------------------------------------------------------------------------------------------------------------------------------------------------------
 UTC date/time        windspeed       wind dir         temperature      humidity        pressure           shortwave      longwave          precipitation
yyyy mm dd hh mi       m s{-1}        degrees               K               %             hPa               W m{-2}        W m{-2}          kg m{-2} s{-1}
------------------------------------------------------------------------------------------------------------------------------------------------------------
<Forcing>  This tag ("<Forcing>", not case sensitive) begins the section of forcing data.  The times have been converted from CST to UTC
2008 01 29 00 00     5.3009974019   249.0000000000   256.4062442707    37.8328636263   543.4400000000   123.8750000000   191.4375000000 0.0000024308659421
2008 01 30 00 00     2.2904972590   249.0000000000   254.8799943049    55.3462937457   543.4400000000   157.4062500000   174.4687500000 0.0000046878103361
2008 01 31 00 00     2.3847472634   249.0000000000   253.4174943375    77.7813458638   543.4400000000   127.1562500000   182.1562500000 0.0000065975325156
2008 02 01 00 00     5.3854974060   249.0000000000   249.1899944320    38.0101826835   543.0200000000   171.1875000000   154.8125000000 0.0000000003104409
2008 02 02 00 00     4.1682473481   249.0000000000   251.5849943785    37.9902083743   543.0200000000   203.9687500000   148.2812500000 0.0000000003104409
2008 02 03 00 00     3.6177473220   249.0000000000   257.0762442558    25.5742805408   543.0200000000   200.5000000000   162.6875000000 0.0000005211437626
2008 02 04 00 00     5.4202474076   249.0000000000   256.3687442716    34.3191874573   543.0200000000   192.2812500000   165.2812500000 0.0000005211437626
2008 02 05 00 00     5.9469974326   249.0000000000   256.0174942794    57.8412997681   543.0200000000   210.0000000000   159.9375000000 0.0000000003104409
2008 02 06 00 00     5.2252473983   249.0000000000   257.9199942369    34.4015114842   543.0200000000   213.7812500000   162.0312500000 0.0000000003104409
2008 02 07 00 00     3.7949973304   249.0000000000   259.2274942077    28.7251246083   543.0200000000   214.4687500000   165.7812500000 0.0000000003104409
2008 02 08 00 00     3.5954973209   249.0000000000   261.1224941653    46.8275603510   543.0200000000   201.1562500000   181.2187500000 0.0000000003104409
2008 02 09 00 00     3.6562473238   249.0000000000   258.8937442151    41.0443800719   543.0200000000   191.8125000000   176.6250000000 0.0000007815604234
2008 02 10 00 00     4.3697473577   249.0000000000   257.8599942382    29.7781990506   543.0200000000   196.7812500000   169.6875000000 0.0000000003104409
2008 02 11 00 00     5.8357474273   249.0000000000   259.8287441942    45.6299302713   543.0200000000   218.5625000000   169.8437500000 0.0000000003104409
2008 02 12 00 00     6.0629974381   249.0000000000   258.6074942215    49.8953480220   543.0200000000   211.1562500000   168.9687500000 0.0000000003104409
2008 02 13 00 00     5.0949973921   249.0000000000   253.5637443343    25.1053688676   543.0200000000   166.4687500000   172.9687500000 0.0000000003104409
2008 02 14 00 00     3.1997473021   249.0000000000   254.5449943123    16.6946047440   543.0200000000   216.2500000000   157.5937500000 0.0000000003104409
2008 02 15 00 00     2.6744972772   249.0000000000   257.2849942511    30.6899604046   543.0200000000   160.5000000000   186.5937500000 0.0000003475326554
2008 02 16 00 00     4.1209973459   249.0000000000   254.8562443054    47.1018157929   543.0200000000   168.7500000000   177.7500000000 0.0000000003104409
2008 02 17 00 00     1.9642472434   249.0000000000   258.4712442246    44.4400562727   543.0200000000   191.2812500000   181.5000000000 0.0000011287826379
2008 02 18 00 00     1.9787472441   249.0000000000   259.7774941954    67.0900953184   543.0200000000   157.7187500000   198.2187500000 0.0000125003101615
2008 02 19 00 00     3.3032473071   249.0000000000   256.8024942619    55.0260840786   543.0200000000   205.4375000000   173.4375000000 0.0000038197547999
2008 02 20 00 00     3.1069972977   249.0000000000   253.6549943322    49.5557476855   543.0200000000   206.9687500000   163.8125000000 0.0000008683659770
2008 02 21 00 00     2.3342472610   249.0000000000   256.7124942639    40.2727022352   543.0200000000   239.2500000000   160.2500000000 0.0000000003104409
2008 02 22 00 00     3.9724973388   249.0000000000   262.2274941406    49.6200109123   543.0200000000   213.3437500000   187.8125000000 0.0000000003104409
2008 02 23 00 00     4.3647473575   249.0000000000   261.5599941556    53.1952353990   543.0200000000   204.4062500000   188.0000000000 0.0000000003104409
2008 02 24 00 00     3.3037473071   249.0000000000   259.2312442076    29.9534031660   543.0200000000   231.8750000000   171.3750000000 0.0000003475326554
2008 02 25 00 00     4.8834973821   249.0000000000   259.2324942076    47.6921848490   543.0200000000   212.0000000000   180.6562500000 0.0000003475326554
2008 02 26 00 00     3.1569973001   249.0000000000   259.2724942067    76.8964380961   543.0200000000   200.3750000000   186.3750000000 0.0000008683659770
2008 02 27 00 00     4.8534973807   249.0000000000   256.2649942739    52.2211575336   543.0200000000   122.3437500000   207.4062500000 0.0000088544769096
2008 02 28 00 00     4.0604973430   249.0000000000   256.7824942623    89.8652191403   543.0200000000   179.6875000000   188.5625000000 0.0000000003104409
2008 02 29 00 00     2.7742472819   249.0000000000   258.5074942238    64.0543245172   543.0200000000   151.9375000000   198.9062500000 0.0000000003104409
2008 03 01 00 00     3.9742473389   249.0000000000   257.3537442495    61.7822053099   545.1400000000   189.0937500000   187.4687500000 0.0000000003104409
2008 03 02 00 00     3.0002472927   249.0000000000   261.2349941628    45.6955152225   545.1400000000   216.7812500000   189.0937500000 0.0000026912826030
2008 03 03 00 00     1.5109972219   249.0000000000   262.5799941328    32.7734816729   545.1400000000   235.2812500000   186.6250000000 0.0000020836437277
2008 03 04 00 00     2.4902472684   249.0000000000   260.8049941724    62.5539637108   545.1400000000   162.8750000000   206.5625000000 0.0000039065603536
2008 03 05 00 00     3.8797473344   249.0000000000   260.0237441899    55.9408913235   545.1400000000   208.1562500000   189.6875000000 0.0000019968381740
2008 03 06 00 00     4.3139973550   249.0000000000   259.7487441960    36.0435793532   545.1400000000   239.6562500000   177.5000000000 0.0000002607271017
2008 03 07 00 00     1.8302472371   249.0000000000   260.0512441893    63.0451101590   545.1400000000   234.8750000000   182.9687500000 0.0000006947548698
2008 03 08 00 00     2.3544972620   249.0000000000   261.7799941506    64.9144399472   545.1400000000   208.3437500000   198.3437500000 0.0000019100326204
2008 03 09 00 00     4.1122473455   249.0000000000   260.1687441866    53.0386021925   545.1400000000   263.9062500000   173.3125000000 0.0000000003104409
2008 03 10 00 00     4.7617473763   249.0000000000   262.2962441391    41.9725052528   545.1400000000   267.5625000000   179.6250000000 0.0000000003104409
2008 03 11 00 00     6.9339974795   249.0000000000   263.6687441084    15.2254832648   545.1400000000   272.9062500000   181.1875000000 0.0000004343382090
2008 03 12 00 00     4.1562473476   249.0000000000   263.1074941210    42.6316318369   545.1400000000   228.1250000000   197.1562500000 0.0000107641990892
2008 03 13 00 00     4.5614973668   249.0000000000   263.9424941023    43.0345612107   545.1400000000   226.7812500000   199.8437500000 0.0000000003104409
2008 03 14 00 00     1.5234972225   249.0000000000   265.8099940605    58.7895425535   545.1400000000   219.9687500000   211.7500000000 0.0000267364209544
2008 03 15 00 00     2.8444972853   249.0000000000   262.4562441355    78.8584934850   545.1400000000   184.3750000000   211.8125000000 0.0000065975325156
2008 03 16 00 00     4.3497473568   249.0000000000   260.8124941722    54.2977142876   545.1400000000   260.4062500000   181.0937500000 0.0000000003104409
2008 03 17 00 00     2.4479972664   249.0000000000   264.5562440886    44.2515755124   545.1400000000   244.2187500000   200.4375000000 0.0000006079493162
2008 03 18 00 00     2.2739972582   249.0000000000   264.1774940970    46.8689974480   545.1400000000   255.7812500000   194.1875000000 0.0000005211437626
2008 03 19 00 00     4.1427473469   249.0000000000   261.4099941589    48.5553689018   545.1400000000   232.5937500000   192.9375000000 0.0000000003104409
2008 03 20 00 00     3.2624973051   249.0000000000   262.2924941392    51.9494508941   545.1400000000   219.7187500000   201.5625000000 0.0000004343382090
2008 03 21 00 00     2.0329972467   249.0000000000   260.1174941878    60.4104983145   545.1400000000   261.0312500000   182.0625000000 0.0000000003104409
2008 03 22 00 00     3.9624973384   249.0000000000   261.3049941613    57.1300198404   545.1400000000   238.6250000000   193.5000000000 0.0000004343382090
2008 03 23 00 00     2.0904972495   249.0000000000   262.9687441240    55.4595257664   545.1400000000   233.6562500000   201.3750000000 0.0000000003104409
2008 03 24 00 00     2.9154972886   249.0000000000   261.5462441558    50.1057083640   545.1400000000   252.6250000000   190.1875000000 0.0000000003104409
2008 03 25 00 00     2.9792472917   249.0000000000   263.6424941090    21.5873560189   545.1400000000   303.4375000000   178.1562500000 0.0000000003104409
2008 03 26 00 00     3.9074973358   249.0000000000   266.5137440448    30.3432885766   545.1400000000   236.5000000000   210.4375000000 0.0000000003104409
2008 03 27 00 00     3.7372473277   249.0000000000   265.1937440743    32.3037939790   545.1400000000   195.4687500000   220.3750000000 0.0000000003104409
2008 03 28 00 00     3.8784973344   249.0000000000   265.0174940783    40.2370029702   545.1400000000   226.4062500000   211.0312500000 0.0000000003104409
2008 03 29 00 00     3.2464973043   249.0000000000   263.5799941104    45.2088945395   545.1400000000   274.9375000000   191.8750000000 0.0000010419770843
2008 03 30 00 00     3.9107473359   249.0000000000   262.5524941334    34.8243005177   545.1400000000   229.6562500000   201.2812500000 0.0000310766986352
2008 03 31 00 00     3.6974973258   249.0000000000   264.7049940853    40.6753958147   545.1400000000   225.7187500000   211.7187500000 0.0000000003104409
2008 04 01 00 00     2.9619972908   249.0000000000   264.6849940857    75.2211636227   548.2200000000   209.3750000000   218.0312500000 0.0000020836437276
2008 04 02 00 00     3.3604973098   249.0000000000   264.5587440885    59.7715832433   548.2200000000   225.1875000000   212.8437500000 0.0000038197547999
2008 04 03 00 00     5.5114974119   249.0000000000   263.1837441192    46.0789388946   548.2200000000   249.6562500000   199.9687500000 0.0000002607271017
2008 04 04 00 00     2.9652472910   249.0000000000   263.2262441183    58.3922366908   548.2200000000   230.1250000000   206.7812500000 0.0000000871159945
2008 04 05 00 00     3.4624973146   249.0000000000   266.1262440535    52.9444990049   548.2200000000   264.1562500000   209.0000000000 0.0000005211437626
2008 04 06 00 00     3.1337472990   249.0000000000   269.0862439873    57.0439204638   548.2200000000   274.5937500000   217.0312500000 0.0000002607271017
2008 04 07 00 00     6.1587474427   249.0000000000   266.3174940492    37.6298439119   548.2200000000   243.8750000000   212.7812500000 0.0000024308659421
2008 04 08 00 00     3.6914973255   249.0000000000   266.3774940479    20.3905876113   548.2200000000   264.5312500000   207.1562500000 0.0000000003104409
2008 04 09 00 00     3.9837473394   249.0000000000   268.6674939967    24.1287085204   548.2200000000   273.8750000000   212.1562500000 0.0000000003104409
2008 04 10 00 00     4.4979973638   249.0000000000   268.9062439913    22.9674116652   548.2200000000   282.0625000000   211.6562500000 0.0000000003104409
2008 04 11 00 00     3.4509973141   249.0000000000   270.8399939481    31.3150919008   548.2200000000   283.7187500000   219.3125000000 0.0000177086433784
2008 04 12 00 00     1.6742472297   249.0000000000   268.8337439930    62.9903478327   548.2200000000   151.1875000000   253.8125000000 0.0000191843377899
2008 04 13 00 00     5.2867474012   249.0000000000   268.5862439985    47.5431378080   548.2200000000   262.5312500000   219.8437500000 0.0000124135046078
2008 04 14 00 00     5.1897473966   249.0000000000   266.6549940417    33.0076107928   548.2200000000   288.6562500000   205.2187500000 0.0000000003104409
2008 04 15 00 00     2.9274972892   249.0000000000   268.6212439977    32.9709069815   548.2200000000   325.7812500000   202.1875000000 0.0000039933659072
2008 04 16 00 00     3.1619973003   249.0000000000   270.0074939667    37.7290798145   548.2200000000   281.8437500000   218.3437500000 0.0000006079493162
2008 04 17 00 00     4.2092473501   249.0000000000   270.6487439524    19.3814046770   548.2200000000   313.0625000000   209.8437500000 0.0000002607271017
2008 04 18 00 00     4.4462473613   249.0000000000   267.9837440120    28.5571084562   548.2200000000   307.0625000000   204.0312500000 0.0000000003104409
2008 04 19 00 00     4.4392473610   249.0000000000   268.2024940071    22.2564210252   548.2200000000   310.2500000000   204.0000000000 0.0000000003104409
2008 04 20 00 00     6.0164974359   249.0000000000   267.0862440320    17.2336367390   548.2200000000   287.4062500000   204.0625000000 0.0000000003104409
2008 04 21 00 00     4.1934973493   249.0000000000   265.3324940712    23.8115943893   548.2200000000   361.0937500000   181.8750000000 0.0000000871159945
2008 04 22 00 00     3.5502473188   249.0000000000   267.8549940148    15.3961875065   548.2200000000   284.6250000000   211.0312500000 0.0000004343382090
2008 04 23 00 00     3.1042472976   249.0000000000   269.4962439782    26.7700265570   548.2200000000   269.7812500000   224.3125000000 0.0000000871159945
2008 04 24 00 00     2.4787472679   249.0000000000   271.6237439306    32.4386659276   548.2200000000   308.3750000000   220.2187500000 0.0000000871159945
2008 04 25 00 00     4.2347473513   249.0000000000   272.5987439088    24.8934778552   548.2200000000   342.7500000000   211.9687500000 0.0000000003104409
2008 04 26 00 00     4.3127473550   249.0000000000   269.4562439790    35.9818508852   548.2200000000   268.8750000000   224.4687500000 0.0000005211437626
2008 04 27 00 00     3.0389972945   249.0000000000   268.6712439966    62.9749780435   548.2200000000   296.8125000000   216.7187500000 0.0000031253103710
2008 04 28 00 00     4.8982473828   249.0000000000   268.2212440067    59.1469039786   548.2200000000   338.9687500000   204.9375000000 0.0000020836437277
2008 04 29 00 00     1.4769972203   249.0000000000   268.0487440105    50.7441103575   548.2200000000   349.2812500000   201.2812500000 0.0000000003104409
2008 04 30 00 00     3.1149972981   249.0000000000   270.2437439614    46.3963489968   548.2200000000   275.8125000000   227.5000000000 0.0000000003104409
2008 05 01 00 00     2.3989972641   249.0000000000   271.4299939349    48.5307606850   550.2200000000   311.1875000000   223.5000000000 0.0000119794768398
2008 05 02 00 00     3.9992473401   249.0000000000   269.5124939778    62.0721648041   550.2200000000   312.2187500000   216.9375000000 0.0000045141992289
2008 05 03 00 00     2.9709972912   249.0000000000   270.1687439631    46.0507825540   550.2200000000   281.2812500000   226.6875000000 0.0000009551715307
2008 05 04 00 00     1.6064972265   249.0000000000   271.8124939264    47.1635493752   550.2200000000   328.7812500000   219.6250000000 0.0000120662823934
2008 05 05 00 00     3.2047473024   249.0000000000   275.3649938470    44.9460680677   550.2200000000   297.8125000000   242.3125000000 0.0000118926712862
2008 05 06 00 00     2.8817472870   249.0000000000   272.6612439074    77.2846679979   550.2200000000   338.2500000000   227.1875000000 0.0000327260041538
2008 05 07 00 00     3.0689972959   249.0000000000   273.8162438816    56.0454153291   550.2200000000   267.8125000000   247.2812500000 0.0000276044764905
2008 05 08 00 00     4.6237473698   249.0000000000   271.8512439255    37.6009919317   550.2200000000   287.8125000000   230.5312500000 0.0000137155879121
2008 05 09 00 00     4.5194973648   249.0000000000   272.2999939155    37.9816704573   550.2200000000   357.7187500000   212.7187500000 0.0000117190601790
2008 05 10 00 00     3.6972473258   249.0000000000   272.3474939144    46.9665273191   550.2200000000   373.2500000000   213.2812500000 0.0000006079493162
2008 05 11 00 00     3.9587473382   249.0000000000   274.6024938640    52.1913044597   550.2200000000   357.8125000000   228.0000000000 0.0000332468374755
2008 05 12 00 00     2.2584972574   249.0000000000   271.9449939234    76.7964742116   550.2200000000   251.5000000000   246.7500000000 0.0000948787805424
2008 05 13 00 00     2.1244972511   249.0000000000   271.4024939355    80.6811144174   550.2200000000   225.4687500000   252.2500000000 0.0000293405875628
2008 05 14 00 00     3.6224973222   249.0000000000   273.0212438994    75.8884571818   550.2200000000   325.3125000000   233.5312500000 0.0000164065600742
2008 05 15 00 00     3.4149973124   249.0000000000   270.8824939472    78.9607473173   550.2200000000   284.9062500000   234.6875000000 0.0000304690597598
2008 05 16 00 00     2.3917472638   249.0000000000   274.2899938710    71.3277533172   550.2200000000   355.9062500000   231.3750000000 0.0000238718376851
2008 05 17 00 00     4.7389973753   249.0000000000   271.7324939282    77.0868644765   550.2200000000   208.5312500000   257.6875000000 0.0000184030878073
2008 05 18 00 00     5.3164974027   249.0000000000   273.3849938912    62.6655978188   550.2200000000   359.4062500000   225.6562500000 0.0000369794762810
2008 05 19 00 00     4.4529973617   249.0000000000   270.8324939483    96.0961578090   550.2200000000   142.7187500000   270.7187500000 0.0000572051702733
2008 05 20 00 00     2.5232472700   249.0000000000   269.4287439797    88.8356231673   550.2200000000   268.9687500000   234.6562500000 0.0000546010036649
2008 05 21 00 00     1.5332472230   249.0000000000   269.6787439741    87.0337180484   550.2200000000   331.1875000000   220.5000000000 0.0000088544769096
2008 05 22 00 00     2.1189972508   249.0000000000   271.9712439228    61.2389398848   550.2200000000   370.6875000000   216.6875000000 0.0000011287826379
2008 05 23 00 00     2.0729972486   249.0000000000   275.8637438358    51.4169323810   550.2200000000   345.0625000000   237.5937500000 0.0000011287826379
2008 05 24 00 00     3.2482473044   249.0000000000   275.5312438432    70.2505530433   550.2200000000   189.6250000000   278.9375000000 0.0000310766986352
2008 05 25 00 00     3.4609973145   249.0000000000   275.0737438535    77.3953605946   550.2200000000   246.7187500000   264.0000000000 0.0000359378096376
2008 05 26 00 00     4.3499973568   249.0000000000   274.3887438688    80.5387437888   550.2200000000   260.8750000000   257.6562500000 0.0000592885035601
2008 05 27 00 00     2.7134972790   249.0000000000   275.5849938421    71.8107309284   550.2200000000   236.1562500000   267.1562500000 0.0000246530876676
2008 05 28 00 00     5.1632473954   249.0000000000   277.4624938001    54.3386958279   550.2200000000   319.4062500000   252.4687500000 0.0000181426711465
2008 05 29 00 00     3.3414973089   249.0000000000   274.8412438587    70.3992668671   550.2200000000   325.3437500000   242.9687500000 0.0000179690600393
2008 05 30 00 00     2.4864972683   249.0000000000   272.2062439176    87.5883629707   550.2200000000   191.4375000000   266.5312500000 0.0000754343365326
2008 05 31 00 00     3.4107473121   249.0000000000   272.1387439191    91.7486217584   550.2200000000   162.8750000000   272.6875000000 0.0000220489210592
2008 06 01 00 00     3.9874973395   249.0000000000   272.3412439146    75.2000146759   551.1800000000   276.4687500000   245.5625000000 0.0000405385039792
2008 06 02 00 00     3.3239973080   249.0000000000   272.5312439103    75.3115472838   551.1800000000   324.4062500000   234.5937500000 0.0000039065603536
2008 06 03 00 00     1.8942472401   249.0000000000   272.4549939120    74.0859155695   551.1800000000   331.5000000000   232.3437500000 0.0000265628098472
2008 06 04 00 00     2.5187472698   249.0000000000   275.5537438428    62.5627947129   551.1800000000   368.8750000000   233.9687500000 0.0000022572548349
2008 06 05 00 00     4.3797473582   249.0000000000   275.4537438450    74.0604038994   551.1800000000   343.9375000000   243.0625000000 0.0000496530871088
2008 06 06 00 00     2.5634972719   249.0000000000   273.1149938973    82.4575102546   551.1800000000   275.6875000000   250.1250000000 0.0000236114210242
2008 06 07 00 00     3.0374972945   249.0000000000   273.8162438816    66.0572012495   551.1800000000   369.5312500000   227.7812500000 0.0000192711433435
2008 06 08 00 00     1.2699972105   249.0000000000   276.7012438171    51.5062789926   551.1800000000   377.6562500000   235.0000000000 0.0000175350322712
2008 06 09 00 00     2.6579972764   249.0000000000   278.4812437773    61.7854863485   551.1800000000   379.6250000000   245.0937500000 0.0000375003096027
2008 06 10 00 00     2.9809972917   249.0000000000   274.6637438627    78.2283040658   551.1800000000   223.3750000000   269.3750000000 0.0000558162814155
2008 06 11 00 00     2.6139972743   249.0000000000   277.3874938018    58.1083418208   551.1800000000   357.0625000000   245.0625000000 0.0000015628104060
2008 06 12 00 00     2.0872472493   249.0000000000   277.8299937919    67.7597817375   551.1800000000   321.6875000000   258.3437500000 0.0000482641982510
2008 06 13 00 00     3.0412472946   249.0000000000   277.5562437980    60.6187294292   551.1800000000   349.7187500000   248.3437500000 0.0000403648928720
2008 06 14 00 00     3.0524972951   249.0000000000   275.2237438501    51.0712264780   551.1800000000   370.7187500000   231.1250000000 0.0000162329489669
2008 06 15 00 00     1.4807472205   249.0000000000   276.5949938195    45.7356190336   551.1800000000   374.0312500000   234.0937500000 0.0000046878103361
2008 06 16 00 00     3.1564973001   249.0000000000   279.1487437624    31.3054063943   551.1800000000   383.2500000000   238.0937500000 0.0000012155881915
2008 06 17 00 00     2.9714972913   249.0000000000   278.9049937678    55.7623555263   551.1800000000   365.3750000000   249.0625000000 0.0000315107264032
2008 06 18 00 00     2.5144972696   249.0000000000   279.0637437643    67.1352202158   551.1800000000   376.7187500000   250.2812500000 0.0000047746158897
2008 06 19 00 00     3.0917472970   249.0000000000   278.0687437865    73.0034419510   551.1800000000   312.4687500000   263.1875000000 0.0000185766989146
2008 06 20 00 00     2.8867472872   249.0000000000   276.8887438129    83.1747420347   551.1800000000   187.7812500000   288.6562500000 0.0000776044753730
2008 06 21 00 00     2.0557472478   249.0000000000   275.4612438448    79.9777140523   551.1800000000   134.5625000000   294.6875000000 0.0000348093374406
2008 06 22 00 00     2.7214972794   249.0000000000   276.6274938188    66.6772863600   551.1800000000   195.0312500000   283.2187500000 0.0000048614214433
2008 06 23 00 00     3.7612473288   249.0000000000   277.5737437976    65.1671654450   551.1800000000   249.4687500000   273.6875000000 0.0000222225321664
2008 06 24 00 00     2.6209972747   249.0000000000   276.7674938156    65.6566400914   551.1800000000   225.7187500000   276.7187500000 0.0000333336430292
2008 06 25 00 00     4.5897473682   249.0000000000   275.1424938520    71.8224459835   551.1800000000   165.3750000000   285.0000000000 0.0000388891984605
2008 06 26 00 00     3.1624973004   249.0000000000   274.4912438665    58.8837358725   551.1800000000   297.1875000000   247.3750000000 0.0000190107266826
2008 06 27 00 00     2.5232472700   249.0000000000   277.4499938004    45.4238918631   551.1800000000   376.2187500000   236.7187500000 0.0000064239214084
2008 06 28 00 00     2.4354972658   249.0000000000   279.9424937447    52.3916590103   551.1800000000   387.6562500000   247.4062500000 0.0000061635047476
2008 06 29 00 00     2.2237472558   249.0000000000   274.8149938592    88.7875440680   551.1800000000   124.9062500000   293.9062500000 0.0000815975308393
2008 06 30 00 00     2.2237472558   249.0000000000   278.4274937785    71.7141914371   551.1800000000   259.3437500000   276.9687500000 0.0000733510032458
2008 07 01 00 00     2.9892472921   249.0000000000   278.1637437844    76.4813863216   552.5600000000   239.1250000000   281.4062500000 0.0001585940568960
2008 07 02 00 00     3.8534973332   249.0000000000   278.6212437742    74.8083956301   552.5600000000   244.3437500000   282.3125000000 0.0000197919766652
2008 07 03 00 00     3.7842473299   249.0000000000   277.5162437989    58.7546141157   552.5600000000   332.5625000000   251.4687500000 0.0000013023937451
2008 07 04 00 00     2.7194972793   249.0000000000   274.8749938579    40.8653478311   552.5600000000   380.8750000000   223.3750000000 0.0000718753088343
2008 07 05 00 00     2.5309972704   249.0000000000   276.7562438159    45.3562219795   552.5600000000   367.4375000000   236.0937500000 0.0000105037824283
2008 07 06 00 00     3.4964973162   249.0000000000   277.1349938074    58.9972560819   552.5600000000   351.7187500000   244.9687500000 0.0000317711430641
2008 07 07 00 00     1.7994972356   249.0000000000   280.2187437385    49.4545585111   552.5600000000   375.9062500000   249.4062500000 0.0000098961435530
2008 07 08 00 00     3.1962473020   249.0000000000   277.9849937884    67.5454680744   552.5600000000   318.0312500000   259.6250000000 0.0001288197520060
2008 07 09 00 00     3.3224973080   249.0000000000   278.4324937784    71.4075044417   552.5600000000   278.2812500000   271.2812500000 0.0000744794754428
2008 07 10 00 00     3.7889973301   249.0000000000   278.3487437803    69.9659752084   552.5600000000   309.0937500000   262.1875000000 0.0001878475284644
2008 07 11 00 00     4.3514973568   249.0000000000   274.5137438660    86.6742931900   552.5600000000    76.8750000000   303.8125000000 0.0001233510021282
2008 07 12 00 00     1.8262472369   249.0000000000   277.3037438036    76.0615468695   552.5600000000   253.5625000000   272.8125000000 0.0001103301690859
2008 07 13 00 00     2.9504972903   249.0000000000   275.7899938375    81.0160244775   552.5600000000   192.0000000000   281.8125000000 0.0001176218355896
2008 07 14 00 00     2.0567472478   249.0000000000   276.9137438123    69.4429071833   552.5600000000   264.1875000000   266.8750000000 0.0000758683643006
2008 07 15 00 00     3.0539972952   249.0000000000   277.4199938010    74.5100289890   552.5600000000   183.2187500000   291.0937500000 0.0001261287798439
2008 07 16 00 00     3.0714972960   249.0000000000   277.1249938077    57.5144267139   552.5600000000   231.1250000000   274.6562500000 0.0000000003104409
2008 07 17 00 00     2.1917472542   249.0000000000   279.2962437591    50.9698819208   552.5600000000   333.5625000000   255.2187500000 0.0000000003104409
2008 07 18 00 00     3.1582473002   249.0000000000   278.8674937687    62.5540373731   552.5600000000   267.4687500000   273.8750000000 0.0000809898919640
2008 07 19 00 00     3.4364973134   249.0000000000   277.8174937922    78.8783063164   552.5600000000   112.5625000000   310.8750000000 0.0001062503080660
2008 07 20 00 00     2.7437472805   249.0000000000   277.4437438005    75.2418190993   552.5600000000   232.0312500000   278.5312500000 0.0001272572520409
2008 07 21 00 00     1.4834972206   249.0000000000   278.9612437666    58.8315170402   552.5600000000   332.7187500000   255.0625000000 0.0000128475323759
2008 07 22 00 00     2.2159972554   249.0000000000   280.9037437232    60.3225987537   552.5600000000   322.1562500000   269.0312500000 0.0000411461428545
2008 07 23 00 00     1.3872472160   249.0000000000   278.3774937796    78.7558879417   552.5600000000   185.3750000000   294.9687500000 0.0000868058640562
2008 07 24 00 00     1.8249972368   249.0000000000   280.7737437261    67.1110051869   552.5600000000   302.0625000000   274.4687500000 0.0003167537755831
2008 07 25 00 00     2.8517472856   249.0000000000   281.0874937191    70.7463154392   552.5600000000   329.7187500000   270.4062500000 0.0000521704481637
2008 07 26 00 00     3.1752473010   249.0000000000   280.4724937328    73.2229971266   552.5600000000   260.2187500000   285.4062500000 0.0001401912795296
2008 07 27 00 00     3.3462473091   249.0000000000   279.9549937444    75.7408775962   552.5600000000   146.8750000000   312.0937500000 0.0002480037771198
2008 07 28 00 00     3.0492472950   249.0000000000   279.7674937486    72.0073007768   552.5600000000   196.4375000000   296.3125000000 0.0002671878044688
2008 07 29 00 00     3.3259973081   249.0000000000   279.0899937637    77.5846536188   552.5600000000   168.2187500000   302.3437500000 0.0002652780822892
2008 07 30 00 00     2.8907472874   249.0000000000   276.0337438320    86.2369892696   552.5600000000   135.2187500000   295.8437500000 0.0003367190529146
